Country,Maker/Brand,Type,Group_Segment,Segment,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Region,Total
Czech Republic,Iveco bus (Irisbus) (2014-),Buses,Unclassified,Unclassified,0,0,0,0,0,0,0,0,0,0,Central/Eastern Europe,0
Czech Republic,KH motor Centrum,Buses,Unclassified,Unclassified,0,0,0,0,0,0,0,0,0,0,Central/Eastern Europe,0
Czech Republic,Sor,Buses,Unclassified,Unclassified,0,0,0,0,0,0,0,0,0,0,Central/Eastern Europe,0
Czech Republic,Tatra,Heavy Trucks,Unclassified,Unclassified,821,850,1326,1481,829,1181,1180,1262,1347,0,Central/Eastern Europe,10277
Czech Republic,Tedom,Buses,Unclassified,Unclassified,0,0,0,0,0,0,0,0,0,0,Central/Eastern Europe,0
Czech Republic,Other,Light Trucks,Unclassified,Unclassified,4500,4500,4500,4500,4500,4500,4075,4500,4500,4500,Central/Eastern Europe,44575
Czech Republic,n.a.,Heavy Trucks,Unclassified,Unclassified,0,0,0,0,0,0,0,0,0,0,Central/Eastern Europe,0
Czech Republic,n.a.,Buses,Unclassified,Unclassified,0,0,0,0,0,0,0,0,0,0,Central/Eastern Europe,0
Romania,Dacia,Cars,Passenger,Passenger B,120041,110741,77815,32546,33841,34241,30834,0,0,0,Central/Eastern Europe,440059
Romania,Dacia,Cars,Passenger,Passenger B,44475,58020,51778,40837,42146,35188,36416,0,0,0,Central/Eastern Europe,308860
Romania,Dacia,Cars,SUV,SUV-C,174077,170443,190419,205565,236921,263035,183286,0,0,0,Central/Eastern Europe,1423746
Romania,Dacia,Light Trucks,Passenger,Passenger B,0,0,39,34935,22354,17064,8663,0,0,0,Central/Eastern Europe,83055
Romania,Dacia,Light Trucks,SUV,SUV-C,0,0,406,0,0,0,0,0,0,0,Central/Eastern Europe,406
Romania,Dacia,N/A,Unclassified,Unclassified,0,0,0,0,0,0,0,257405,314228,322086,Central/Eastern Europe,893719
Romania,Ford,Cars,SUV,SUV-B,0,0,0,8877,141507,125872,0,0,0,0,Central/Eastern Europe,276256
Romania,Ford,Cars,SUV,SUV-B,0,0,0,0,0,15012,0,0,0,0,Central/Eastern Europe,15012
Romania,Ford,Cars,MPV,MPV,52829,47967,38849,40894,0,0,0,0,0,0,Central/Eastern Europe,180539
